Asset_Type,Equipment_ID,Date_Install,Longitude,Latitude,STREET_1,STREET_2,Suburb,RMS_Region
VEH ,54,11-Oct-46,151.197559,-33.91154647,COLLINS ST,O'RIORDAN ST,BEACONSFIELD,Sydney
VEH ,55,18-Nov-46,151.1983042,-33.89692089,HENDERSON RD,WYNDHAM ST,ALEXANDRIA,Sydney
VEH ,56,23-Jan-47,151.7365098,-32.89736109,PACIFIC HWY,HANBURY ST,MAYFIELD,Hunter
VEH ,57,05-Mar-47,151.0928485,-33.96365099,KING GEORGES RD,FOREST RD,PENSHURST,Sydney
VEH ,58,21-Apr-47,151.1271515,-33.87380017,PARRAMATTA RD,GREAT NORTH RD,FIVE DOCK,Sydney
VEH ,59,11-Dec-46,151.1964165,-33.92145981,BOTANY RD,GARDENERS RD,MASCOT,Sydney
VEH ,60,10-May-48,151.0834101,-33.89180468,HUME HWY,HOMEBUSH RD,STRATHFIELD SOUTH,Sydney
VEH ,61,23-Jun-48,151.0360026,-33.90645594,HUME HWY,CHAPEL RD,BANKSTOWN,Sydney
VEH ,62,09-Aug-48,151.1735364,-33.88738129,PARRAMATTA RD,PYRMONT BRIDGE RD,ANNANDALE,Sydney
VEH ,63,21-Jan-58,151.1476118,-33.8842002,MARION ST,FOSTER ST,LEICHHARDT,Sydney
VEH ,64,08-Oct-48,151.0723058,-33.92944652,CANTERBURY RD,KING GEORGES RD,LAKEMBA,Sydney
VEH ,65,08-Nov-48,151.1917572,-33.92082476,GARDENERS RD,O'RIORDAN ST,MASCOT,Sydney
VEH ,66,13-Dec-48,151.1458267,-33.90664297,MARRICKVILLE RD,WARDELL RD,DULWICH HILL,Sydney
VEH ,67,04-Feb-49,151.1524059,-33.9086819,MARRICKVILLE RD,LIVINGSTONE RD,MARRICKVILLE,Sydney
VEH ,68,01-Apr-49,151.1601075,-33.91230955,MARRICKVILLE RD,VICTORIA RD,MARRICKVILLE,Sydney
VEH ,69,20-Jun-49,151.2560206,-33.88945187,OLD SOUTH HEAD RD,EDGECLIFF RD,BELLEVUE HILL,Sydney
VEH ,70,14-Feb-56,151.1388906,-33.88606894,HUME HWY,PARRAMATTA RD,ASHFIELD,Sydney
VEH ,71,24-Jun-74,151.0273351,-33.86490665,PARK RD,WELLINGTON RD,AUBURN,Sydney
VEH ,72,20-Sep-58,151.0269964,-33.83791865,PARRAMATTA RD,RAWSON ST,AUBURN,Sydney
VEH ,73,02-Aug-52,151.1248978,-33.88882997,HUME HWY,HERCULES ST,ASHFIELD,Sydney
VEH ,74,24-Mar-54,151.1901267,-33.92478146,O'RIORDAN ST,COWARD ST,MASCOT,Sydney
VEH ,75,16-Feb-53,151.1946404,-33.92967591,BOTANY RD,KING ST,MASCOT,Sydney
VEH ,76,23-Dec-54,151.1955099,-33.92553079,BOTANY RD,COWARD ST,MASCOT,Sydney
VEH ,77,14-Nov-52,151.1016452,-33.88765689,HUME HWY,BURWOOD RD,BURWOOD,Sydney
VEH ,78,12-Sep-63,151.1285678,-33.90470299,NEW CANTERBURY RD,CANTERBURY RD,HURLSTONE PARK,Sydney
VEH ,79,24-Dec-52,151.1044008,-33.91823025,CANTERBURY RD,BEXLEY RD,CAMPSIE,Sydney
VEH ,80,07-May-69,151.0948782,-33.92220645,CANTERBURY RD,KINGSGROVE RD,BELMORE,Sydney
VEH ,81,05-Dec-57,151.1534253,-33.90152482,FRAZER ST,LIVINGSTONE RD,MARRICKVILLE,Sydney
VEH ,82,04-Oct-65,151.1545339,-33.85106288,VICTORIA RD,LYONS RD,DRUMMOYNE,Sydney
VEH ,83,02-Feb-53,151.1294878,-33.86930627,GREAT NORTH RD,RAMSAY RD,FIVE DOCK,Sydney
VEH ,84,14-May-53,151.0047855,-33.82758407,PARRAMATTA RD,WOODVILLE RD,GRANVILLE,Sydney
